Country,Code,voiceAcc,politicalSta,govEff,regQua,ruleLaw,controlCor,Capacity,Hydropower,Wind,Solar,Bioenergy,1000ha,,CapacityArea
Germany,DEU,1.39,0.58,1.72,1.78,1.61,1.84,113058,11307,55876,42396,8990,"34,936",3.236146096,323.6146096
Denmark,DNK,1.52,0.87,1.80,1.62,1.86,2.19,7792,9,5521,906,1356,"4,199",1.855679924,185.5679924
United Kingdom,GBR,1.33,0.26,1.41,1.71,1.68,1.84,40789,4611,20488,12791,5326,"24,193",1.685983549,168.5983549
Mauritius,MUS,0.79,0.99,0.90,1.00,0.68,0.20,191,61,11,29,91,203,0.9408866995,94.08866995
Sweden,SWE,1.58,0.98,1.84,1.80,1.94,2.14,28217,16493,6631,233,4860,"40,731",0.6927647247,69.27647247
China,CHN,-1.50,-0.25,0.42,-0.15,-0.26,-0.27,618803,341190,164061,130646,11365,"942,470",0.6565757783,65.65757783
Costa Rica,CRI,1.12,0.51,0.25,0.45,0.45,0.47,2964,2328,378,11,40,"5,106",0.580493537,58.0493537
Iceland,ISL,1.38,1.37,1.45,1.43,1.61,1.84,2700,1987,3,,,"10,025",0.2693266833,26.93266833
United States,USA,1.05,0.30,1.55,1.63,1.64,1.38,229913,102132,87544,42889,13151,"914,742",0.2513419084,25.13419084
Uruguay,URY,1.17,1.06,0.42,0.66,0.59,1.29,3717,1538,1504,239,436,"17,502",0.2123757285,21.23757285
Seychelles,SYC,0.19,0.68,0.42,-0.18,0.10,0.68,8,,6,2,,46,0.1739130435,17.39130435
Swaziland,SWZ,-1.45,-0.30,-0.58,-0.56,-0.29,-0.30,186,62,,1,123,"1,736",0.1071226174,10.71226174
Cape Verde,CPV,0.98,0.90,0.16,-0.20,0.41,0.84,39,19,26,14,,403,0.09677419355,9.677419355
Ghana,GHA,0.59,0.09,-0.11,-0.14,0.13,-0.23,1611,1580,,28,3,"22,754",0.07080073833,7.080073833
Nicaragua,NIC,-0.72,-0.05,-0.64,-0.67,-0.64,-0.87,682,142,186,23,177,"12,034",0.05667276051,5.667276051
Equatorial Guinea,GNQ,-1.97,-0.15,-1.44,-1.40,-1.49,-1.83,131,126,,5,,"2,805",0.04670231729,4.670231729
Rwanda,RWA,-1.12,0.04,0.26,0.15,0.13,0.63,112,99,,13,1,"2,467",0.04539927037,4.539927037
Ethiopia,ETH,-1.44,-1.69,-0.70,-1.01,-0.45,-0.56,4301,3814,324,14,142,"100,000",0.04301,4.301
Uganda,UGA,-0.59,-0.56,-0.58,-0.22,-0.30,-1.04,841,714,,46,81,"20,052",0.04194095352,4.194095352
South Africa,ZAF,0.64,-0.27,0.28,0.23,-0.01,-0.01,4959,3434,2094,2014,148,"121,309",0.0408790774,4.08790774
